id,domain_tag,prompt,generation_prompt,negative_prompt,image_path,seed,resolution,num_inference_steps,guidance_scale,latency_ms,file_size_kb,contrast,saturation,color_variation,edge_density,brightness,quality_score,quality_flag
balanced_320_001,sports,football player in red uniform running across a wet stadium field,"football player in red uniform running across a wet stadium field, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_320\images\balanced_320_001_sports.png,20263412,320x320,16,5.5,564.44,187.13,1.0,0.4399,1.0,0.6612,0.5787,0.7798,good
balanced_320_002,sports,basketball player jumping near the hoop under bright arena lights,"basketball player jumping near the hoop under bright arena lights, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_320\images\balanced_320_002_sports.png,20263413,320x320,16,5.5,496.46,159.74,1.0,0.263,1.0,0.6549,0.3943,0.6833,good
balanced_320_003,sports,tennis racket and ball on a blue court with strong shadows,"tennis racket and ball on a blue court with strong shadows, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_320\images\balanced_320_003_sports.png,20263414,320x320,16,5.5,502.91,146.44,0.6011,0.3635,0.5395,0.3133,0.6778,0.4389,review
balanced_320_004,sports,cyclist on a mountain road during a cloudy morning race,"cyclist on a mountain road during a cloudy morning race, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_320\images\balanced_320_004_sports.png,20263415,320x320,16,5.5,509.33,139.99,0.905,0.1937,0.8384,0.3372,0.516,0.5892,review
balanced_320_005,animals_nature,golden retriever sitting near a small river in autumn forest,"golden retriever sitting near a small river in autumn forest, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_320\images\balanced_320_005_animals_nature.png,20263416,320x320,16,5.5,514.2,203.75,0.701,0.6377,0.6416,0.7023,0.4547,0.6385,good
balanced_320_006,animals_nature,white sheep standing on a snowy hill under pale sky,"white sheep standing on a snowy hill under pale sky, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_320\images\balanced_320_006_animals_nature.png,20263417,320x320,16,5.5,575.69,130.32,0.5735,0.1744,0.5127,0.2929,0.568,0.4015,review
balanced_320_007,animals_nature,green turtle on a clean white studio background,"green turtle on a clean white studio background, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_320\images\balanced_320_007_animals_nature.png,20263418,320x320,16,5.5,491.03,183.66,0.8085,0.4333,0.7379,0.6041,0.4764,0.6332,good
balanced_320_008,animals_nature,deer silhouette near trees with orange sunset behind,"deer silhouette near trees with orange sunset behind, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_320\images\balanced_320_008_animals_nature.png,20263419,320x320,16,5.5,507.13,198.95,1.0,0.6958,0.899,0.7612,0.3496,0.7624,good
balanced_320_009,people_entertainment,singer holding a microphone on a small concert stage,"singer holding a microphone on a small concert stage, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_320\images\balanced_320_009_people_entertainment.png,20263420,320x320,16,5.5,492.2,140.6,1.0,0.6491,0.8913,0.2583,0.3401,0.6572,good
balanced_320_010,people_entertainment,actor walking on a red carpet near photographers,"actor walking on a red carpet near photographers, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_320\images\balanced_320_010_people_entertainment.png,20263421,320x320,16,5.5,514.25,148.3,0.8808,0.5206,0.8043,0.2829,0.4994,0.6378,good
balanced_320_011,people_entertainment,business woman presenting a chart in a modern office,"business woman presenting a chart in a modern office, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_320\images\balanced_320_011_people_entertainment.png,20263422,320x320,16,5.5,501.26,118.78,1.0,0.3356,1.0,0.5748,0.6558,0.7056,good
balanced_320_012,people_entertainment,person dancing in colorful clothes during a city festival,"person dancing in colorful clothes during a city festival, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_320\images\balanced_320_012_people_entertainment.png,20263423,320x320,16,5.5,497.58,172.27,0.9518,0.5133,0.9966,0.3671,0.6161,0.7077,good
balanced_320_013,places_objects,minimal living room with green couch and wooden coffee table,"minimal living room with green couch and wooden coffee table, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_320\images\balanced_320_013_places_objects.png,20263424,320x320,16,5.5,502.5,147.79,1.0,0.2504,1.0,0.3496,0.5329,0.6762,good
balanced_320_014,places_objects,safe deposit box with paper money on a white background,"safe deposit box with paper money on a white background, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_320\images\balanced_320_014_places_objects.png,20263425,320x320,16,5.5,499.23,137.92,1.0,0.2721,1.0,0.4189,0.5099,0.6865,good
balanced_320_015,places_objects,modern bridge over a river with glass buildings nearby,"modern bridge over a river with glass buildings nearby, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_320\images\balanced_320_015_places_objects.png,20263426,320x320,16,5.5,491.3,164.24,1.0,0.2391,1.0,0.7835,0.4032,0.7051,good
balanced_320_016,places_objects,bright bus station with empty benches and morning light,"bright bus station with empty benches and morning light, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_320\images\balanced_320_016_places_objects.png,20263427,320x320,16,5.5,505.42,178.74,1.0,0.2923,0.9176,0.8367,0.446,0.73,good
