id,prompt,image_path,resolved_image_path,domain_tag,source_type,split
cc_seed_0035,"museum , opened is among the 20th - century 's most significant buildings .",images/cc_seed_0035.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0035.jpg,,,seed_train
cc_seed_0032,"a fine , grainy vector pattern in black and white .",images/cc_seed_0032.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0032.jpg,,,seed_train
cc_seed_0038,a moored fishing boat viewed from island .,images/cc_seed_0038.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0038.jpg,,,seed_train
cc_seed_0013,safe deposit with money around it on a white background photo,images/cc_seed_0013.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0013.jpg,,,seed_train
cc_seed_0005,the jetty : different types of plants to establish a variety of ecosystems .,images/cc_seed_0005.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0005.jpg,,,seed_train
cc_seed_0043,isolated water glass on a white background,images/cc_seed_0043.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0043.jpg,,,seed_train
cc_seed_0041,sheep with a black face fenced in on a winter day,images/cc_seed_0041.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0041.jpg,,,seed_train
cc_seed_0034,students in front of a school,images/cc_seed_0034.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0034.jpg,,,seed_train
cc_seed_0016,young business woman on a bench,images/cc_seed_0016.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0016.jpg,,,seed_train
cc_seed_0062,the water was never deeper than your chest .,images/cc_seed_0062.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0062.jpg,,,seed_train
cc_seed_0031,actor and daughters uk premiere held,images/cc_seed_0031.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0031.jpg,,,seed_train
cc_seed_0064,"simple custom leather pulls for your dresser , cabinets , or doors .",images/cc_seed_0064.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0064.jpg,,,seed_train
cc_seed_0027,red and white flag on the mast,images/cc_seed_0027.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0027.jpg,,,seed_train
cc_seed_0060,person and the fiancee at their engagement party .,images/cc_seed_0060.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0060.jpg,,,seed_train
cc_seed_0050,putts for birdie on the second hole during the final round of the golf tournament .,images/cc_seed_0050.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0050.jpg,,,seed_train
cc_seed_0030,a pencil drawing of a zebra and her baby .,images/cc_seed_0030.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0030.jpg,,,seed_train
cc_seed_0023,vintage elegant floral card with frame decorated with black and white lilies on a pink background .,images/cc_seed_0023.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0023.jpg,,,seed_train
cc_seed_0048,country shape animated on the satellite map of the globe,images/cc_seed_0048.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0048.jpg,,,seed_train
cc_seed_0024,heavy snow falls over a snow lined river .,images/cc_seed_0024.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0024.jpg,,,seed_train
cc_seed_0059,"according to the model , she regularly gets told it looks",images/cc_seed_0059.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0059.jpg,,,seed_train
cc_seed_0021,interesting 1930 's poster for a cosmetic company with stores .,images/cc_seed_0021.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0021.jpg,,,seed_train
cc_seed_0061,good night id been working like a dog i should be sleeping like a log,images/cc_seed_0061.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0061.jpg,,,seed_train
cc_seed_0047,person finishes at the top,images/cc_seed_0047.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0047.jpg,,,seed_train
cc_seed_0002,sierra looked stunning in this top and this skirt while performing with person at their former university,images/cc_seed_0002.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0002.jpg,,,seed_train
cc_seed_0025,green sea turtle isolated on a white background 3d illustration,images/cc_seed_0025.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0025.jpg,,,seed_train
cc_seed_0045,person at a corporate event,images/cc_seed_0045.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0045.jpg,,,seed_train
cc_seed_0003,interior design of modern living room with fireplace in a new house,images/cc_seed_0003.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0003.jpg,,,seed_train
cc_seed_0052,sending this angel your way ... it lights the way with it 's tiny candle .,images/cc_seed_0052.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0052.jpg,,,seed_train
cc_seed_0055,ask owner for photos of the car,images/cc_seed_0055.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0055.jpg,,,seed_train
cc_seed_0026,"person , was surprised by the staff",images/cc_seed_0026.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0026.jpg,,,seed_train
cc_seed_0011,all shots by by person and rider shots can be found on his website .,images/cc_seed_0011.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0011.jpg,,,seed_train
cc_seed_0039,vector illustration of person isolated on a white background,images/cc_seed_0039.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0039.jpg,,,seed_train
cc_seed_0049,paths are clearly marked with signs like this .,images/cc_seed_0049.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0049.jpg,,,seed_train
cc_seed_0004,cybernetic scene isolated on white background .,images/cc_seed_0004.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0004.jpg,,,seed_train
cc_seed_0020,people tour and enjoy the public park during summer,images/cc_seed_0020.jpg,lora_experiment\seed_dataset\google_conceptual_captions_20000\images\cc_seed_0020.jpg,,,seed_train
